id_produto,produto,barras,valor_venda,valor_compra,custo,estoque,estoque_minimo,ncm,cest,cfop,unidade,margem,marca,grupo,subgrupo,observacao,foto
"38","CARREGADOR TURBO POWER 4.0 45W A+C PEINING PEI-329","6978003746291","55","0","0","2","","","","","","0","0","0","0","",""
"39","CABO CARREGADOR LIGHTING + USB RÁPIDO DE DADOS TURBO 1M 20W CB602L","7890800260208","34","0","0","22","","","","","","0","0","0","0","",""
"40","CABO CARREGADOR LIGHTINH + USB RÁPIDO DE DADOS 1M 6A PEINING PEI-J85-2","6977072203094","20","0","0","9","","","","","","0","0","0","0","",""
"41","CABO CARREGADOR LIGHTING+TIPOC RÁPIDO TURBO DE DADOS 30W PEINING PEI-J113-4","6978003740787","29","0","0","2","","","","","","0","0","0","0","",""
"42","CABO CARREGADOR LIGHTING+TIPO-C RÁPIDOS DE DADOS 27W 1M CB817L KIMASTER","7898600808170","40","0","0","4","","","","","","0","0","0","0","",""
"43","CABO CARREGADOR TIPO-C TURBO 30W 2M CB832C KIMASTER","7890800208361","45","0","0","3","","","","","","0","0","0","0","",""
"44","CABO CARREGADOR TIPO-C RÁPIDO DE DOS 1M 66W PEINING PEI-J85-5","6977072203124","28","0","0","1","","","","","","0","0","0","0","",""
"45","KIT CARREGADOR LIGHTING+USB-C 1.2M 30W FAM PRIME","7898660992536","199.9","0","0","1","","","","","","0","0","0","0","",""
"46","KIT CARREGADOR LIGHTING+USB 2.1A FKT-1505 FAM","7898660992956","65","0","0","3","","","","","","0","0","0","0","",""
"48","KIT CARREGADOR LIGHTING+USB RÁPIDO 3.1A 5V PEINING PEI-185-2","7893008813443","55","0","0","7","","","","","","0","0","0","0","",""
"53","Teste","","1","0","0","50","","","","","","0","0","0","0","",""
